date,airsensor_moisture,airsensor_temperature,leafsensor_moisture
2021-08-11 13:00:00+00:00,28.626996000000002,36.949987,0.31665
2021-08-11 14:00:00+00:00,27.517486666666667,36.5766525,0.22041666666666668
2021-08-11 15:00:00+00:00,32.522486666666666,35.357485833333335,0.16008333333333333
2021-08-11 16:00:00+00:00,34.91999666666667,34.947495833333335,0.23075
2021-08-11 17:00:00+00:00,42.12582833333334,31.86666083333333,0.19008333333333335
2021-08-11 18:00:00+00:00,52.20332916666666,27.367486666666668,0.18883333333333333
2021-08-11 19:00:00+00:00,57.70831916666666,25.2091625,0.23316666666666666
2021-08-11 20:00:00+00:00,63.5474125,24.226653333333335,0.24108333333333332
2021-08-11 21:00:00+00:00,72.80998833333334,23.05915416666667,0.26891666666666664
2021-08-11 22:00:00+00:00,80.69997500000001,21.491663333333335,0.05683333333333334
2021-08-11 23:00:00+00:00,85.96856714285715,19.884265714285714,0.17300000000000001
2021-08-12 00:00:00+00:00,87.91832916666668,19.309155,0.333
2021-08-12 01:00:00+00:00,88.61914583333333,18.744159166666666,0.12766666666666668
2021-08-12 02:00:00+00:00,89.94499833333333,18.2824875,0.3243333333333333
2021-08-12 03:00:00+00:00,90.32165166666668,17.878329166666667,0.2910833333333333
2021-08-12 04:00:00+00:00,89.8758275,17.642496666666666,0.156
2021-08-12 05:00:00+00:00,86.61581333333334,18.086661666666668,0.1645
2021-08-12 06:00:00+00:00,74.15582833333333,21.026654166666667,0.13208333333333333
2021-08-12 07:00:00+00:00,56.785828333333335,25.49581166666667,0.2548333333333333
2021-08-12 08:00:00+00:00,46.54498666666667,28.474986666666666,0.26033333333333336
2021-08-12 09:00:00+00:00,41.32998583333333,31.37249,0.128
2021-08-12 10:00:00+00:00,39.33666,33.62666,0.04841666666666666
2021-08-12 11:00:00+00:00,36.88241166666666,34.782495000000004,0.31566666666666665
2021-08-12 12:00:00+00:00,33.2924875,36.80082,0.19625
2021-08-12 13:00:00+00:00,30.585829166666667,38.029162500000005,0.17241666666666666
2021-08-12 14:00:00+00:00,28.92998833333333,40.58582916666666,0.20683333333333334
2021-08-12 15:00:00+00:00,33.70999416666667,38.602494166666666,0.21633333333333335
2021-08-12 16:00:00+00:00,44.85999916666666,34.65082916666667,0.14633333333333334
2021-08-12 17:00:00+00:00,54.46666416666667,31.269162500000004,0.2025
2021-08-12 18:00:00+00:00,62.15916333333333,28.154165000000003,0.10091666666666665
2021-08-12 19:00:00+00:00,60.47082666666666,26.46749,0.24058333333333334
2021-08-12 20:00:00+00:00,68.43248416666667,25.235824166666664,0.28691666666666665
2021-08-12 21:00:00+00:00,79.01666250000001,24.341664166666664,0.17975
2021-08-12 22:00:00+00:00,83.39545181818181,23.96908818181818,0.203
2021-08-12 23:00:00+00:00,85.44163916666668,22.99166,0.18083333333333332
2021-08-13 00:00:00+00:00,87.018305,22.200820833333335,0.10975
2021-08-13 01:00:00+00:00,86.527495,21.41083,0.22624999999999998
2021-08-13 02:00:00+00:00,87.22998833333334,20.39665666666667,0.19183333333333333
2021-08-13 03:00:00+00:00,88.36332083333333,19.786662500000002,0.15841666666666668
2021-08-13 04:00:00+00:00,88.16083083333332,19.409995,0.17666666666666667
2021-08-13 05:00:00+00:00,85.24499666666667,19.107495833333335,0.2333333333333333
2021-08-13 06:00:00+00:00,74.36581083333333,22.299156666666665,0.19041666666666668
2021-08-13 07:00:00+00:00,55.020828333333334,26.621663333333334,0.11566666666666665
2021-08-13 08:00:00+00:00,48.83416,29.030829166666667,0.15216666666666667
2021-08-13 09:00:00+00:00,44.45833,31.089993333333336,0.17475
2021-08-13 10:00:00+00:00,39.25915666666667,33.198319166666664,0.19233333333333333
2021-08-13 11:00:00+00:00,37.48582916666667,34.5633225,0.19849999999999998
2021-08-13 12:00:00+00:00,31.411578333333335,36.5183275,0.26366666666666666
2021-08-13 13:00:00+00:00,33.689164166666664,36.921664166666666,0.1905
2021-08-13 14:00:00+00:00,32.63749333333333,37.44999833333333,0.19425
2021-08-13 15:00:00+00:00,35.30166333333333,36.994995833333334,0.12466666666666666
2021-08-13 16:00:00+00:00,42.293321666666664,34.72083,0.16241666666666668
2021-08-13 17:00:00+00:00,46.0858125,31.736663333333336,0.3060833333333333
2021-08-13 18:00:00+00:00,55.8833275,28.18083,0.2890833333333333
2021-08-13 19:00:00+00:00,62.90166083333333,26.409164166666667,0.12366666666666666
